course_session_id,room_id,user_id,event_datetime,session_slide_id_reaction_made,session_slide_id,emotion,part_of_activity,total_reactions,dt
70690,54332,647306,12/16/25 5:59,1396622,1396622,skip,1,1,20251216
70690,54332,647433,12/16/25 5:39,1396625,1396625,stronger,1,1,20251216
70690,54332,648959,12/16/25 6:00,1396622,1396622,loved,1,1,20251216
70690,54332,651452,12/16/25 5:49,1396624,1396624,stronger,1,1,20251216
70690,54332,652934,12/16/25 5:30,1396599,,loved,0,1,20251216
70690,54332,648953,12/16/25 6:03,1396622,1396622,loved,1,1,20251216
70690,54332,647748,12/16/25 5:31,1396599,,skip,0,1,20251216
70690,54332,657525,12/16/25 5:53,1396623,1396623,skip,1,1,20251216
70690,54332,647404,12/16/25 5:50,1396624,1396624,loved,1,1,20251216
70690,54332,647496,12/16/25 5:39,1396625,1396625,skip,1,1,20251216
70690,54332,647504,12/16/25 5:38,1396625,1396625,skip,0,1,20251216
70690,54332,652958,12/16/25 5:49,1396624,1396624,skip,1,1,20251216
70690,54332,648953,12/16/25 5:40,1396625,1396625,loved,1,1,20251216
70690,54332,648951,12/16/25 6:09,1396621,1396621,stronger,1,1,20251216
70690,54332,652934,12/16/25 5:53,1396623,1396623,stronger,1,1,20251216
70690,54332,652940,12/16/25 5:59,1396622,1396622,skip,1,1,20251216
70690,54332,647748,12/16/25 5:51,1396624,1396624,skip,1,1,20251216
70690,54332,648959,12/16/25 5:51,1396608,,loved,0,1,20251216
70690,54332,647411,12/16/25 5:30,1396599,,loved,0,1,20251216
70690,54332,647748,12/16/25 5:53,1396623,1396623,skip,1,1,20251216
70690,54332,652934,12/16/25 5:39,1396625,1396625,loved,1,1,20251216
70690,54332,648953,12/16/25 5:32,1396599,,loved,0,1,20251216
70690,54332,657525,12/16/25 5:49,1396624,1396624,skip,1,1,20251216
70690,54332,651452,12/16/25 5:40,1396625,1396625,stronger,1,1,20251216
70690,54332,647404,12/16/25 5:31,1396599,,loved,0,1,20251216
70690,54332,647306,12/16/25 6:09,1396621,1396621,loved,1,1,20251216
70690,54332,647748,12/16/25 5:40,1396625,1396625,skip,1,1,20251216
70690,54332,648986,12/16/25 6:02,1396622,1396622,skip,1,1,20251216
70690,54332,651452,12/16/25 5:59,1396622,1396622,stronger,1,1,20251216
70690,54332,647433,12/16/25 5:59,1396622,1396622,stronger,1,1,20251216
70690,54332,648986,12/16/25 5:40,1396625,1396625,skip,1,1,20251216
70690,54332,651452,12/16/25 6:09,1396621,1396621,stronger,1,1,20251216
70690,54332,647426,12/16/25 5:40,1396625,1396625,loved,1,1,20251216
70690,54332,651452,12/16/25 5:53,1396623,1396623,stronger,1,1,20251216
70690,54332,647404,12/16/25 5:55,1396623,1396623,loved,0,1,20251216
70690,54332,647404,12/16/25 5:59,1396622,1396622,loved,1,1,20251216
70690,54332,647295,12/16/25 5:45,1396618,1396625,loved,1,1,20251216
70690,54332,652929,12/16/25 5:42,1396605,1396625,skip,1,1,20251216
70690,54332,647411,12/16/25 5:32,1396599,,confused,0,5,20251216
70690,54332,647433,12/16/25 6:09,1396621,1396621,stronger,1,1,20251216
70690,54332,647426,12/16/25 5:53,1396623,1396623,loved,1,1,20251216
70690,54332,647426,12/16/25 5:49,1396624,1396624,stronger,1,1,20251216
70690,54332,652934,12/16/25 5:59,1396622,1396622,loved,1,1,20251216
70690,54332,647411,12/16/25 5:49,1396624,1396624,loved,1,1,20251216
70690,54332,647748,12/16/25 5:59,1396622,1396622,skip,1,1,20251216
70690,54332,647411,12/16/25 5:51,1396624,1396624,loved,0,1,20251216
70690,54332,648953,12/16/25 5:53,1396623,1396623,skip,1,1,20251216
70690,54332,648959,12/16/25 5:49,1396624,1396624,loved,1,1,20251216
70690,54332,647404,12/16/25 6:09,1396621,1396621,loved,1,1,20251216
70690,54332,647496,12/16/25 5:49,1396624,1396624,skip,1,1,20251216
70690,54332,647499,12/16/25 5:59,1396622,1396622,loved,1,1,20251216
70690,54332,652958,12/16/25 5:59,1396622,1396622,loved,1,1,20251216
70690,54332,648951,12/16/25 6:18,1396620,1396620,sad,1,1,20251216
70690,54332,648959,12/16/25 5:53,1396623,1396623,loved,1,1,20251216
70690,54332,647496,12/16/25 5:59,1396622,1396622,skip,1,1,20251216
70690,54332,648986,12/16/25 5:54,1396623,1396623,skip,1,1,20251216
70690,54332,652934,12/16/25 6:09,1396621,1396621,loved,1,1,20251216
70690,54332,648986,12/16/25 5:49,1396624,1396624,skip,1,1,20251216
70690,54332,652940,12/16/25 5:57,1396616,1396623,skip,1,1,20251216
70690,54332,647411,12/16/25 5:53,1396623,1396623,stronger,1,1,20251216
70690,54332,647426,12/16/25 6:01,1396622,1396622,loved,1,1,20251216
70690,54332,647496,12/16/25 5:53,1396623,1396623,skip,1,1,20251216
70690,54332,647411,12/16/25 5:59,1396622,1396622,loved,1,1,20251216
70690,54332,647404,12/16/25 5:53,1396623,1396623,loved,1,1,20251216
70690,54332,652938,12/16/25 6:09,1396621,1396622,skip,1,1,20251216
70690,54332,647411,12/16/25 5:39,1396625,1396625,stronger,1,1,20251216
70690,54332,647499,12/16/25 5:49,1396624,1396624,loved,1,1,20251216
70690,54332,648959,12/16/25 5:39,1396625,1396625,sad,1,1,20251216
70690,54332,652940,12/16/25 5:50,1396624,1396624,skip,1,1,20251216
70690,54332,652958,12/16/25 5:53,1396623,1396623,skip,1,1,20251216
70690,54332,648953,12/16/25 5:51,1396608,1396624,loved,1,1,20251216
70690,54332,657525,12/16/25 5:40,1396625,1396625,skip,1,1,20251216
70690,54332,647411,12/16/25 5:56,1396610,,loved,0,1,20251216
70690,54332,648959,12/16/25 5:30,1396599,,loved,0,1,20251216
70690,54332,647433,12/16/25 5:53,1396623,1396623,stronger,1,1,20251216
70690,54332,647499,12/16/25 5:39,1396625,1396625,stronger,1,1,20251216
70690,54332,657525,12/16/25 5:59,1396622,1396622,skip,1,1,20251216
70690,54332,647433,12/16/25 5:49,1396624,1396624,stronger,1,1,20251216
70690,54332,652934,12/16/25 5:49,1396624,1396624,loved,1,1,20251216
70690,54332,647499,12/16/25 5:53,1396623,1396623,loved,1,1,20251216